"","id","designer"
"175","236457","S J Macdonald"
"176","236457","Shem Phillips"
"177","337627","Nigel Buckle"
"178","337627","David Turczi"
"179","264220","Krzysztof Piskorski"
"180","264220","Marcin Swierkot"
"181","217372","Reiner Knizia"
"182","122515","Sebastian Bleasdale"
"183","122515","Richard Breese"
"184","42","Reiner Knizia"
"185","170042","Shem Phillips"
"186","271055","Luke Laurie"
"187","40834","Donald X. Vaccarino"
"188","18602","William Attia"
"189","203993","Flaminia Brasini"
"190","203993","Virginio Gigli"
"191","203993","Simone Luciani"
"192","73439","Sebastien Dujardin"
"193","73439","Xavier Georges"
"194","73439","Alain Orban"
"195","12","Reiner Knizia"
"196","146021","Corey Konieczka"
"197","146021","Nikki Valens"
"198","359871","Cole Wehrle"
"199","172386","Alexander Pfister"
"200","310100","Adam Kwapinski"
"201","269385","Nathan I. Hajek"
"202","269385","Grace Holdinghaus"
"203","12493","Christian T. Petersen"
"204","163412","Uwe Rosenberg"
"205","36218","Donald X. Vaccarino"
"206","4098","John Bohrer"
"207","4098","Martin Wallace"
"208","102680","Stefan Feld"
"209","144733","Helmut Ohley"
"210","144733","Leonhard ""Lonny"" Orgler"
"211","218417","Jenny Iglesias"
"212","218417","Nick Little (I)"
"213","218417","Kevin Riley"
"214","43015","Andreas Steding"
"215","180263","Ludovic Roudy"
"216","180263","Bruno Sautter"
"217","227935","Tim Eisner"
"218","227935","Ben Eisner"
"219","227935","Ian Moss"
"220","205896","Eric M. Lang"
"221","175640","Vital Lacerda"
"222","410201","Connie Vogelmann"
"223","196340","Hisashi Hayashi"
"224","198928","Jesus Torres Castro"
"225","198928","Matt Leacock"
"226","233371","Paul Dennen"
"227","175155","Samuel Bailey"
"228","175155","James Kniffen"
"229","175155","Corey Konieczka"
"230","178900","Vlaada Chvatil"
"231","254640","Ludovic Roudy"
"232","254640","Bruno Sautter"
"233","172287","Ole Steiness"
"234","325494","Andrzej Betkiewicz"
"235","325494","Krzysztof Piskorski"
"236","325494","Pawel Samborski"
"237","325494","Marcin Swierkot"
"238","132531","Wei-Hwa Huang"
"239","132531","Thomas Lehmann"
"240","266524","Henry Audubon"
"241","220877","Inka Brand"
"242","220877","Markus Brand"
"243","30549","Matt Leacock"
"244","304783","Bobby Hill"
"245","118048","Andreas Steiger"
"246","189932","Peter Lee"
"247","189932","Rodney Thompson"
"248","189932","Andrew Veen"
"249","396790","Simone Luciani"
"250","396790","David Turczi"
"251","263918","Jordy Adan"
"252","262712","Thomas Lehmann"
"253","147020","Robert Dougherty"
"254","147020","Darwin Kastle"
"255","463","Richard Garfield"
"256","281259","Frank West"
"257","274364","Matthias Cramer"
"258","161970","Matus Kotry"
"259","271324","Frederic Guerard"
"260","14996","Alan R. Moon"
"261","268864","Trevor Benjamin"
"262","268864","David Thompson (I)"
"263","235802","Adam Carlson"
"264","235802","Josh J. Carlson"
"265","77423","Nate French"
"266","34635","Bernd Brunnhofer"
"267","308765","Vladimir Suchy"
"268","258779","Ryan Lambert"
"269","258779","Adam Rehberg"
